ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T20:10:10+00:00,0,,,29,75.839,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:11+00:00,0,,,29,75.81,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:12+00:00,0,,,29,75.772,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:13+00:00,0,,,29,75.777,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:14+00:00,0,,,29,75.794,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:15+00:00,0,,,29,75.812,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:16+00:00,0,,,29,75.752,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:17+00:00,0,,,29,75.841,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:18+00:00,0,,,29,75.801,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:19+00:00,0,,,29,75.818,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:20+00:00,0,,,29,75.813,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:21+00:00,0,,,29,75.763,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:22+00:00,0,,,29,75.81,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:23+00:00,0,,,29,75.745,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:24+00:00,0,,,29,75.825,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:25+00:00,0,,,29,75.78,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:26+00:00,0,,,29,75.895,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:27+00:00,0,,,29,75.833,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:28+00:00,0,,,29,75.83,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:29+00:00,0,,,29,75.75,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:30+00:00,0,,,29,75.84,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:31+00:00,0,,,29,75.845,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:32+00:00,0,,,29,75.766,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:33+00:00,0,,,29,75.748,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:34+00:00,0,,,29,75.794,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:35+00:00,0,,,29,75.776,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:36+00:00,0,,,29,75.742,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:37+00:00,0,,,29,75.861,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:38+00:00,0,,,29,75.802,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:39+00:00,0,,,29,75.811,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T20:10:40+00:00,0,,,29,75.807,700.0,0,0,345,3201,604.6875,143771.0,0
